text,class
fromentin (ecole de,author
gilbert (victor,author
jacques (ch.,author
bigg (d'apres,author
debucourt,author
singleton,author
vernet (c.) (d'apres,author
vernet (c.,author
"porcelaines et faiences
anciennes",category
bronzes - lustres,category
pendule,category
sieges et meubles,category
appartenant a m. le comte de x.,noise
appartenant a divers,category
tableaux dessins -- aquarelles,category
ecole francaise,ecole
ecole francaise (debut du xviiie siecle,ecole
prud'hon (atelier de,author
van dyck (ecole de,author
robert (hubert,author
thorn (ecole anglaise,author
"objets divers
bronzes",category
meuble,category
tapis tapisseries,category
aquarelles - pastel,category
charlet (frantz,author
smits (e.,author
tableaux anciens et modernes,category
bastien,author
charlet (frantz),author
coessin de la fosse,author
draegenbroeck (leo van,author
ecole flamande,ecole
ecole hollandaise,ecole
ecole italienne,ecole
maes (r.,author
smits (eugene,author
stevens (alfred,author
gravures anciennes et modernes,category
beauvarlet,author
boilly (d'apres l,author
boucher (d'apres f.,author
charlet,author
coypel (d'apres ch.,author
hamilton (d'apres w.),author
kauffman (d'apres angelica),author
lethiers (d'apres,author
morland et singleton (d'apres),author
pater (d'apres j.-b.,author
reynolds (d'apres sir johsua),author
vernet (d'apres carle,author
watteau (d'apres ant.,author
"faiences anciennes de bruxelles
a fond gros bleu",category
"faiences anciennes de bruxelles
a fond bleu pale",category
"faiences anciennes de bruxelles
a fond manganese",category
"faiences anciennes de bruxelles
a fond blanc",category
"faiences diverses
gres rhenans",category
porcelaines anciennes et modernes,category
dinanderie,category
objets varies,category
"etains - cuivres - fer forge - lustres
verrerie - harpe - sculptures
glaces - armes - pendules bronzes d'art et d'ameublement",category
sieges anciens et modernes,category
meubles anciens et modernes,category
sieges et meubles de jardin sculptures de jardin - vases,category
tapis d'orient,category
conditions de la vente,noise
ordre des vacations,noise
jeudi 14 mars 1940,noise
vendredi 15 mars 1940,noise
tableaux,category
tableaux anciens,category
boucher (genre de francois,author
coypel (style de charles,author
crepin (attribue a,author
deux pendants,noise
ecole francaise (xixe siecle,ecole
greuze (ecole de jean-baptiste),author
martin (attribue a,author
octavien (genre de,author
vernet (genre de claude-joseph),author
objets divers ceramiques montees,category
bronzes,category
luminaire - flambeaux - lustres,category
chenets . - pendules - bustes,category
sculptures - terres cuites,category
marbres,category
bois sculptes - glaces,category
trumeaux,category
paravents,category
tapis d'aubusson et d'orient,category
heeheeheeheeheeheeheeheeheeheeheerreerreerreerree,noise
tableaux - dessins aquarelles - gravures,category
bellis (h.),author
bellis (h.,author
bonnet (d'apres,author
ecole flamande (xviie siecle),ecole
gericault (attribue a,author
grevin,author
kaufmann (a.,author
leempotten (v.,author
leempotten,author
mignon (a.) (attribue a,author
pavy (ph.,author
raffet,author
veyrassat,author
watteau (ecole de,author
tapisserie,category
"aquarelles - gouaches
dessins - pastels",category
duluard,author
guys,author
sept lavis a l'encre de chine,noise
hugo (victor,author
isabey (eugene,author
jacob (max,author
legrand (louis,author
palizzi,author
rochegrosse,author
ten cate,author
willette,author
bail (joseph),author
boudin (albert,author
cazin (marie,author
delpy (h.-c.,author
dewambez,author
dupre (jules,author
dupre (jules) (att. a,author
gerome,author
lebasque,author
luce,author
maufra,author
raffaelli,author
ravier,author
woog (raymond,author
dessins - aquarelles - gravures,category
baudoin,author
careme (d'apres,author
clouet (ecole des,author
david (ecole de,author
de marne (ecole de,author
ecole flamande (xvie siecle,ecole
ecole flamande (xvse siecle),ecole
hals (franz) (ecole de,author
parrocel (attr. a,author
schall (d'apres,author
smit (a.,author
vernet (horace,author
bois sculptes,category
avis important,noise
aquarelles,category
harpignies (henri,author
jongkind (johann-barthold,author
boudin (genre de,author
tassaert (octave,author
mertens (willy,author
pastel - dessin,category
brueghel (ecole des,author
fragonard (ecole de jean-honore,author
greuze (style de jean-baptiste,author
"huet (jean-baptisteparis, 1745 + paris, 1811",author
lagrenee (ecole des,author
pernelle (?,author
poelenburgh (ecole de cornelis van),author
"roehn (adolphe-eugene-gabrielparis, 1780 + malakoff, 1867",author
roehn (adolphe-eugene-gabriel,author
de troy (attribue a jean-baptiste),author
tapisseries anciennes,category
bijoux,category
metal argente,category
fourrure,category
boilly,author
boilly (d'apres,author
le prince (d'apres),author
heyman (ch.,author
wouvermans (d'apres,author
baye,author
"tableaux - dessins
gouaches",category
boucher (ecole de,author
brissot (de warville,author
constable (genre de,author
cranach (lucas) (attr. a,author
denner (b.,author
dreux (a. de) (ecole de,author
ecole espagnole,ecole
ecole francaise (xviie,ecole
froment (e.),author
guerard (e.,author
largilliere (attribue a,author
ostade,author
rops (f.) (attribue a,author
a. veron (ecole francaise xixdeg siecle,author
de vos (kry,author
livres - recueils,category
duplessis (georges,author
henry lapauze,author
moliere,author
topffer (r.,author
wattier (emile) xixe siecle,author
wildenstein (g.,author
faiences anciennes,category
porcelaines anciennes,category
boites - miniatures objets de vitrine,category
gerbault (h.,author
mignard (ecole de,author
penne (o. de,author
poelenburg (attribue a c,author
teniers (attribue a d.,author
teniers (ecole de d.,author
wils (jan,author
kauffmann (d'apres a.,author
sculptures - marbres,category
demachy (pierre-antoine) (genre de),author
ecole anglaise,ecole
courteille,author
nattier (jean-marc) (ecole de),author
nattier (jean-marc) (genre de,author
pater (jean-baptiste-joseph) (genre de,author
"prudhon
(pierre) (attribue a)",author
santerre (jean-baptiste) (ecole de),author
taraval (jean-hugues) (attribue a),author
"tiepolo
(ecole de)",author
vivien (joseph),author
bronzes - pendules et candelabres,category
lustres et appliques,category
couture (ecole de,author
noterman-zach,author
ruinart (jules,author
rusto,author
stevens (joseph,author
pastels,category
ecole francaise (xviiie siecle,ecole
simons (attribue a j.-m.) (xviiie siecle,author
ecole francaise (xviie siecle,ecole
"faiences
anciennes et modernes",category
"objets de vitrine
miniatures - ivoires - montres en or
tabatieres - epingles - christ",author
argenterie metal,category
dinanderie - verrerie - coffret - etains glaces - lustres - cartel en bois sculpte,category
"bronzes d'ameublement
pendules - flambeaux",category
pieces montees,category
ordre de la vacation,noise
gravures anciennes,category
bonnet (l.-m.,author
chaponnier (a.,author
cosway (d'apres r.,author
debucourt (l.-p.,author
demarteau (g.,author
descourtis (g.-m.,author
huet (d'apres j.-b.,author
morret (j.-b.,author
regnault (n.-f.,author
stothard (?,author
faiences et porcelaines,category
bronzes d'ameublement,category
trumeau et glace,category
meubles et sieges,category
"i
tapis d'orient - tapisserie
etoffe",category
meubles et siege,category
"objets de vitrine - bronzes
bois sculpte",category
meubles anciens,category
"tableaux anciens
| aquarelles - pastel",category
arellano (j. de(xvii),author
campanella (angelo,author
charpentier (j.-b.(1728-1806),author
colin de la biochaye,author
coypel (atelier de charles,author
demarne (j.-l.,author
dubufe (edouard,author
"ecole anglaise
(xvii)",ecole
"ecole anglaise
(xviii)",ecole
"ecole anglaise
(debut du xix(r))",ecole
"ecole flamande
(xvii)",ecole
"ecole francaise
(xvii)",ecole
"ecole francaise
(xviii)",ecole
"ecole francaise
(fin xviii)",ecole
"ecole francaise
(epoque empire)",ecole
"ecole francaise
(1"" moitie du xix(r))",ecole
"ecole franco-flamande
(xve)",ecole
"ecole hollandaise
(xviii)",ecole
"ecole italienne
(xvii)",ecole
"ecole venitienne
(xv)",ecole
"ecole venitienne
(xve-xvi)",ecole
foschi (francois,author
gros (attribue au baron ant.,author
huysmans (cornelis),author
parme (julien de,author
kneller (godefroy,author
lebarbier (j.-j. l'aine,author
leprince (j.-b.,author
leprince (ecole de j.-b.,author
luttichuys,author
le maitre du fils prodigue,author
(xvi -- ecole flamande),ecole
metsys (ecole de quentin(xv-xvi),author
molinari (antoine,author
momper (attribue a francois de,author
monnoyer (ecole de j.-b.(xviideg),author
"poussin (nicolas)
(1594-1665)",author
ponze (antonio,author
rouget (g.,author
royen (van(xvii(r)-xviii),author
swebach (j. dit fontaine,author
taunay (nicolas,author
teniers (ecole de david,author
tournieres (r.-l.,author
van of,author
vestier (attribue a a.),author
vinkeles,author
"tableaux modernes
aquarelles & dessins",category
aquarelles & dessins,category
bonnard (pierre,author
cheret (jules,author
cross (henri-edmond,author
gericault (theodore,author
hervier (adolphe,author
jongkind,author
maillol (aristide,author
marquet (albert,author
millet (jean-francois,author
redon (odilon,author
seurat,author
bail (joseph,author
bando,author
boudin,author
cals (adolphe-felix,author
courbet (gustave,author
daubigny,author
gluckmann (grigory,author
van dongen,author
tableaux - aquarelles - dessins,category
bellenger,author
ecole francaise (fin du xviiie siecle,ecole
ecole francaise (xviiideg siecle,ecole
ecole francaise (xviiie siecle),ecole
ecole italienne (xviiie siecle,ecole
lambert (eug.),author
lamy (e.,author
menard,author
robert (hubert) (attribue a),author
robert (hubert) (attribue a,author
rucker,author
suvee,author
aubry (d'apres,author
baudoin (d'apres,author
bonnet,author
bosio (d.,author
chardin (j.-b.-s.) (d'apres,author
chardin (j.-b.-s.) (d'apres),author
demarteau,author
dequevauviller,author
janinet,author
van gorp (d'apres,author
vidal,author
vischer,author
watteau (a.,author
watteau (a.) (d'apres,author
faiences et porcelaines anciennes,category
bronzes - pendules,category
lustres,category
"tableaux anciens & modernes des ecoles anglaise, francaise, hollandaise & italienne
dessins",category
estampes,category
dessins,category
ceramique,category
objets d'art,category
glaces,category
soieries,category
divers,category
"tableaux - gouaches - dessins
gravures",category
beraud (attribue a,author
bourguignon (attribue a,author
carteron (e.),author
david (louis,author
ecole francaise (debut du xville siecle,ecole
hobbema (m.) (ecole de),author
jacober (d'apres),author
lontherbourg (d'apres,author
"michel (georges. - paris, 1763 + 1843)",author
millet (j.-f.),author
momper (j. de,author
murillo (b.-e.) (ecole de,author
nattier (ecole de,author
rigaud (attribue a),author
vernet (horace) (attribue a,author
veyrassat (j.),author
vien (j.),author
objets de vitrine,category
ameublements de salon,category
"aquarelles - gouaches
dessins - lavis",category
blanc (charles,author
boudin (eugene),author
brown (john-lewis,author
couturier,author
desvallieres,author
harpignies (h.,author
jouve,author
pissarro renoir 4auguste),author
ribot (theodule,author
signac (paul,author
simon (lucien,author
ten-cate,author
toulouse-lautrec (attribuee a,author
truffaut (f.,author
tableaux - pastels,category
asselin (maurice,author
barye,author
bouche (eugene,author
caillebotte (g.,author
ciceri (eugene,author
maurice-denis,author
diaz (n.,author
d'espagnat (georges,author
forain (j.-l.),author
guerin (charles),author
kikoine,author
lebasque (henri,author
manguin (henri-charles,author
milcendeau,author
monticelli,author
roussel (k.-x.,author
valtat (louis,author
veyrassat (jules,author
vlaminck maurice de),author
vuillard (edouard,author
zingg (jules,author
filiger,author
ingres,author
derain (andre,author
fantin-latour,author
manguin (henri-charles),author
marval (j.,author
morizot (berthe,author
picabia,author
rousseau (th.,author
vlaminck maurice de,author
"tableaux - pastels
gravures",category
ecole francaise (fin xviiideg,ecole
f. domingo,author
le gout gerard,author
lhermite,author
f. thaulow,author
trouillebert,author
objets d'art et d'ameublement,category
bronze - objets,category
ceramiques - luminaires,category
ceramique de la chine,category
epoque song,author
epoque young-tching,author
epoque kien-long,author
epoque tao-kouang et posterieures,author
"pierres dures et pierres de lard
de la chine",category
laques de la chine et du japon,category
dessins - aquarelles,category
boudin (eugene1824 + 1898,author
chagall (marc,author
forain (j.-l.1852 + 1931,author
guys (constantin1805 + 1892,author
guys (constantin),author
"guys (constantin)
(genre de)",author
inconnu,author
jongkind (johann-barthold1819 + 1891,author
"lami (eugene)
1800 + 1890",author
signac (paul),author
"tableaux modernes
pastel",category
"boudin (eugene)
1829 + 1898",author
"clays (paul-jean)
bruges, 1819 + bruxelles, 1900",author
davids (andre,author
davids (arlette),author
dufeu (edouard,author
fautrier (jean,author
fautrier (jean),author
"lebourg (albert)
1849 + 1928",author
lepine (stanislas1836 + 1892,author
monet * (claude1840 + 1926,author
pissarro (camille1830 + 1903,author
"renoir (auguste)
1841 + 1919",author
tassaert (octave1800 + 1874,author
"barye (antoine-louis)
1796 + 1875",author
barye (antoine-louis,author
barye (antoine-louis),author
"baudouin
(d'apres p.-a.)",author
"bonnet
(l.-m.)",author
"demarteau l'aine
(g.)",author
"demarteau
(g.-a.)",author
"hoppner
(j.)",author
"tableau et dessin
anciens",category
"bakhuysen
(ludolf) 1631 + 1708",author
"van os
(jan) 1744 + 1808",author
dessins - aquarelles - gouaches,category
boldini (jean,author
dufy (raoul),author
segonzac (andre dunoyer de),author
braque (georges,author
cezanne (paul1839-1906,author
chirico (giorgio de),author
domingo (francese,author
ecole moderne,ecole
gen-paul (eugene paul dit),author
gen-paul (eugene paul dit,author
gris (juan,author
guillaumin (jean-baptiste-armand,author
kisling (moise),author
la fresnaye (roger de,author
lehmann (leon,author
marquet (pierre-albert,author
marquet (pierre-albert),author
matisse (henri,author
modigliani (amedeo,author
monet (claude,author
pascin (jules,author
serusier (paul,author
soutine (charles),author
souverbie (jean,author
villers (gaston de,author
sculpture,category
gargallo (pablo,author
"aquarelles - dessins gouaches - pastels
anciens et modernes",category
"carmontelle (louis carrogis, dit) paris, 1717 + paris, 1806",author
"carmontelle (louis carrogis, dit)",author
carriera (ecole de rosalba,author
"charlet (nicolas-toussaintparis, 1792 + paris, 1845",author
"cochin
(attribue a)",author
drouais (ecole d'hubert,author
dubois (frederic),author
"ecole allemande
(xviiie siecle)",ecole
"ecole francaise
(xviie siecle)",ecole
"ecole francaise
(xviiie siecle)",ecole
"ecole italienne
(xviiie siecle)",ecole
fredou (attribue a martial),author
freudeberg (attribue a sigmund),author
"granet (francois-mariusaix, 1775 + 1849",author
grimou attribue a alexis,author
"halle (claude-guy) paris, 1652 + paris, 1736",author
isabey (attribue a eugene,author
"juillerat
(jacques)",author
le brun attribue a mme elisabeth vigee,author
le brun (d'apres mme elisabeth vigee,author
le moyne (ecole de francois,author
marilhat prosper-georges-antoine1811 + 1847,author
montrille,author
pannini (ecole de giovanni-paolo),author
parizeau (attribue a philippe-louis),author
"perignon
(attribues a alexis-nicolas)",author
pernet (attribues a jean-henri-alexandre,author
perronneau (attribue a jean-baptiste,author
pierre attribue a jean-baptiste-marie,author
' robert (genre d'hubert,author
"saint aubin
(attribue a de)",author
saint fare (j.-l.-eustache de),author
"sicardi louis sicard, ou siccardi, ou)
avignon, 1746 + 1825",author
van gorp (attribue a henri-nicolas),author
"van loo
(attribue a)",author
"wahlbom
(carl)",author
wille (attribues a georges),author
"wille (pierre-alexandre)
paris, 1748 + 1821",author
"tableaux anciens
et modernes",category
"battoni (pompeo-girolamo) lucques, 1702 + rome, 1787",author
"bogailei
(kleofas)",author
boucher (ecole de francois),author
cazin (attribue a jean-baptiste-louis),author
charpentier (attribue a jean-baptiste),author
david (attribue a louis),author
david (ecole de louis,author
david (ecole de louis),author
duplessis (attribue a joseph silfrede),author
"ecole anglaise
(fin du xviiie siecle)",ecole
"guttenbrunn
(louis) (ecole allemande xviiie siecle)",author
"lagrenee (louis-jean-francois)
paris, 1724 + paris, 1805",author
lagrenee (louis-jean-francois),author
lampi ecole de giovanni-battista,author
la pierre (benjamin de),author
"ecole de le birabenh vice
(ecole de mme elisabeth vigee)",author
le brun (ecole de mme e. vigee),author
le prince ecole de jean-baptiste),author
"le prince
(ecole de)",author
lucas (eugenio),author
moreau (ecole de louis),author
oudry (atelier de jean-baptiste),author
roqueplan (camille-joseph-etienne1803 + 1855,author
suvee (attribue a joseph-benoit,author
tischbein (attribue a johann,author
"van loo
(ecole de)",author
"verkolje (nicolas verkolye, ou) delft, 1673 + amsterdam, 1746",author
"wahlbom
(carl) 1810 + 1858",author
deux pendants.,noise
"objets d'extreme-orient
* montes en bronze",category
ceramiques diverses,category
laques,category
objets d'ameublement,category
"porcelaines montees
objets varies",category
ans - paravent,category
glace,category
tapis 'aubusson et des gobelins,category
objets d'extreme-orient,category
ceramique de la chine et du japon,category
pierres dures de la chine,category
laques du japon,category
porcelaines et faiences anciennes,category
"ceramique, objets varies faiences et porcelaines montees",category
miniatures,category
boites - eventails,category
etoffes - dentelles - rideaux,category
"tableaux - aquarelles
dessins",category
gravures et lithographies,category
"tableaux - aquarelles
dessins modernes",category
estampes anciennes et modernes,category
argenterie metal argente,category
bronzes - pendules - lustre,category
sculptures - glace - cadre,category
sieges - ameublement de salon,category
pierre (jean-baptiste),author
benard (jean-baptiste),author
franck (ecole des),author
lallemand (j. b.,author
sauvage (ecole de,author
tableaux modernes aquarelle - pastel,category
carrier belleuse (pierre,author
defaux (andre),author
"francais (francois)
(1814-1897)",author
louchet (paul),author
ceramiques,category
"etoffes anciennes
d'apres tapisseries",author
sisley (alfred1839 + 1899,author
"aquarelles - dessins
gouaches",category
boucher (atelier de francois),author
pendants,category
"chatelet (attribue a claude-louis)
paris, 1753 + paris, 1794",author
"gillot (attribue a claude) langres, 1673 + paris, 1722",author
"goya y lucientes
(francisco jose de) fuendetodos, 1746 + bordeaux, 1828",author
"hoin (attribue a claude-jean-baptistedijon, 1750 + dijon, 1817.",author
"marechal
(jean-baptiste) (fin du xviiie et commencement du xixe siecles.",author
"moreth
(attribue a)",author
"van gorp
(henri-nicolas) paris, vers 1756.+ apres 1819",author
"taraval
(louis-gustave) stockholm, 1737 + paris, 1786.",author
"werner (attribue a joseph) berne, 1637 + berne, 1716",author
"boucher
(francois) paris, 1703 + paris, 1770.",author
"drolling
(attribue a martin) oberhergheim, 1752 + paris, 1817.",author
"duplessis
(joseph-silfrede) carpentras, 1725 + versailles, 1802.",author
"eisen charles-dominique-josephvalenciennes, 1720 + bruxelles, 1778.",author
"garneray
(jean-francois) paris, 1755 + paris, 1837",author
"goya y lucientes
(francisco jose de)",author
pendant du precedent.,noise
"goyen (attribue a jan van) leyde, 1596 + la haye, 1665",author
"greuze (attribue a jean-baptiste
tournus, 1725 + paris, 1806.",author
"le prince
(jean-baptiste) metz, 1733 + saint-denis-du-port, 1781",author
"le prince (jean-baptiste)
pendant du precedent",author
"le riche
(attribue a)",author
"pannini (giovanni paolo panini, ouplaisance, 1691 ou 1695 + rome, 1768",author
pendant du suivant,noise
"pannini giovanni-paolo panini, ou)",author
pendant du precedent,noise
"robert
(hubert) paris, 1733 + paris, 1808.",author
robert (hubert),author
"van loo (attribue a charles-amedee-philippeturin, 1715 + vers 1795.
attri",author
"van vitelli attribue a gaspard van wittel, ou vanvitel, ouutrecht, 1674 + rome 1736.",author
objets,category
"d'extreme orient
montes en bronze",category
pierres dures,category
d'ameublement,category
"sculptures
bois, marbre, terre cuite, platre",category
"porcelaines montees
en bronze",category
"bronzes d'ameublement
pendules",category
objets varies pieces montees en bronze thermometre - barometre,category
couverts en tapisserie,category
ecran,category
"meubles en marqueterie, laque
et bois de placage",category
sy .(g,noise
chantilly,author
mennecy,author
saint-cloud,category
"aprey
apa",author
desvres,author
faience fine de lorraine,author
pont-aux-choux,category
saint-clement,category
les islettes,category
sceaux,category
strasbourg,author
nevers,author
montpellier,author
marseille,author
moustiers,category
rouen,author
sinceny,author
bijoux dependant de la succession de mademoiselle m.,category
bijoux appartenant a divers amateurs,category
epoque tang (621-907),author
epoque song (960-1279),author
epoque yuen (1280-1368),author
dynastie des ming (1369-1644),author
"dynastie des tsing
(1645-1851)",author
epoque khang-hi (1662-1722).,author
epoque yung-tching (1723-1736),author
epoque kien-long (1736-1796),author
epoque tao-kouang (1821-1850),author
epoques : 1851 a nos jours,author
soieries de la chine,category
laques de la chine,category
"ceramique, laques, bois, ivoires et bronzes du japon",category
"gravures - dessins
tableaux",category
anonyme,author
angelica kauffmann,author
le ceur (d'apres),author
martini,author
ecole romantique,ecole
ecole francaise 1830,ecole
ecole italienne (xviie siecle),ecole
berghem (ecole de nicolas),author
boizot (louis,author
detaille (attribue a),author
vien (j. de),author
backhuysen (attribue a),author
bertin (attribue a),author
callet,author
ommeganck (b.-e.),author
teniers (genre de,author
de troy (d'apres),author
"siecle)
ecole francaise (xix",ecole
ecole flamande (xvii siecle),ecole
ceramiques - objets varies,category
tapis - tapisseries,category
iii. - livres modernes,category
"pastels - aquarelles
dessins",category
andrieux,author
farge (h.,author
forain (jean-louis,author
frank will,author
levy dhurmer,author
modigliani,author
moreau (luc-albert,author
naudin (bernard,author
segonzac (dunoyer de,author
sisley (a.,author
taquoy (maurice,author
ten kate (m.,author
utrillo (maurice),author
vallotton (f.,author
van dongen (k.,author
willette (andre,author
zadkine,author
bernard (emile,author
bissiere (roger),author
charlot (louis,author
darsac (jean,author
dufrinoy,author
durey (rene,author
faivre (a.,author
flandrin (i.,author
kamke,author
kisling,author
laglenne (j.-f.,author
leprin (marcel,author
luce (m.,author
marval (j.),author
menkes,author
palmieri,author
rameau,author
robert (th.,author
thornley,author
vlaminck,author
addenda,noise
fantin,author
renoir,author
antral,author
gen-paul,author
laprade,author
"drouais
(ecole des)",author
"lallemand
(jean-baptiste) dijon 1710 + paris 1803",author
"lepicie
(ecole de nicolas-bernard)",author
"pannini
attribues a giovanni-battista",author
"pater
(ecole de jean-baptiste)",author
"parmesan
ecole de girolamo-francesco-maria mazzola ou mazzuola, dit le",author
"robert
(hubert) paris 1733 + paris 1808",author
"romany (marie-jeanne mercier, dite adele de romance, puisparis 1769 + paris 1846",author
"teniers (attribue a david, le jeune)",author
"vallayer-coster
(mme anne) paris 1744 + paris 1818",author
ceramiques de la coree et de la chine,category
coree,category
chine,category
dynastie des tsing (1645-1851,author
epoque kien-long (1736-1796,author
epoque yung=tching (1723-1736),author
epoque khang=hi (1662-1722),author
bronze du laos,category
"objets de vitrine
objets varies",category
fourrures,category
huot (l.-e.) (d'apres raphael,author
yon (edmond,author
"albane (attribue a francois albani, dit)",author
berchem (ecole de nicolas),author
bibiena (attribue a f.-g.),author
bidault (xavier),author
bloemen (attribue a peter van),author
breughel (ecole de pierre,author
cuyp (attribue a albert),author
"deshays de colleville (jean-baptisterouen, 1729 + 1766",author
"does (jacob van der) amsterdam, 1623 + sloten, 1673",author
dyck (attribue a antoine van),author
dyck (ecole d'a. van),author
ecole espagnole (xviie siecle),ecole
ecole flamande (debut du xvideg siecle),ecole
ecole flamande (xviideg siecle,ecole
ecole francaise (xvideg siecle),ecole
ecole francaise (xviideg siecle,ecole
ecole hollandaise (xviideg siecle),ecole
francken (frans,author
gottschalk (ignace),author
gros (attribue au baron antoine-jean),author
hausman (g.,author
lundberg (attribue a gustaf) (ecole suedoise,author
maes (attribue a nicolas),author
magnasco (ecole d'alessandro),author
"mahlknecht (edmondvienne, 1820",author
michel (georges),author
"orrente (pedro) montealegre, 1560 + tolede, 1644",author
oudry (ecole de jean-baptiste),author
potter (genre de paul),author
pourbus (frans ii),author
schall (attribue a f.-j.),author
scheikevitch (jean-marie,author
schustoff (n.),author
subleyras (attribue a p.-h.,author
van de venne (attribue a adrien),author
victoors (attribue a jean),author
wille (attribue a pierre-alexandre),author
zuccarelli (attribue a francesco),author
ecole rhenane,ecole
objets divers et d'extreme-orient,category
chenets,category
"meubles
paravents",category
ecrans,category
tapis tapis d'orient,category
"dessins - aquarelles - gouaches
pastels - gravures",category
"barye (antoine-louis)
1796-1875",author
besnard (albert),author
blanc (charles),author
boldini (jean),author
"cheret (jules)
1836-1932",author
craig (franck,author
"degas (edgar)
1834-1917",author
delacroix (eugene1798-1863,author
de penne (olivier,author
detaille (edouard1848-1912,author
dignimont (andre,author
faivre (abel),author
foujita (tsugouharu),author
frank-will,author
harpignies (henri1879-1916,author
harpignies (henri),author
"helleu (paul)
1859-1927",author
"isabey (jean-baptiste)
1767-1855",author
jongkind (j.-b.),author
laprade (pierre),author
leloir (maurice,author
lhermitte (leon1844,author
"monnier (henry)
1805-1877",author
monnier (henry,author
"pichot (ramon)
1872-1925",author
"pils (isidore)
1813-1875",author
puvis de chavannes (pierre1824-1898,author
raffaelli (jean-francois1850-1924,author
"rouget (georges)
1784-1869",author
saint-marcel-cabin (charles,author
seguin (a.),author
stenlein (alexandre1859-1923,author
tesson (louis),author
van rysselberghe,author
"vernet (carle)
1758-1836",author
veyrassat (jules1828-1893,author
"veyrassat (jules)
1828-1893",author
waroquier (henry de,author
willette (adolphe,author
aridas (auguste,author
balfourier (adolphe,author
"brest (fabien)
1823-1900",author
blanchard (theophile1812-1849,author
charlot (louis),author
clairin (pierre-eugene,author
"delpy (h.-c.)
1842-1910",author
dubasty (adolphe1814-1884,author
dufeu (edouard),author
duhem (henri,author
dupray (henry),author
eberl (f.-z.,author
ecole alsacienne (xixdeg siecle,ecole
ecole francaise (xixdeg siecle,ecole
ecole francaise (milieu du xixe siecle),ecole
"faivre (antoine)
1830-1905",author
"fantin-latour
1836-1904",author
flandrin (jules),author
fournier,author
"gagliardini (gustave)
1848-1927",author
galien-laloue (e.),author
"gen paul (eugene paul, dit)",author
girard,author
guillaumin (armand1841-1927,author
guerin-le guay,author
"harpignies
1879-1916",author
"hebert (ernest)
1817-1908",author
kvapil (charles),author
la patelliere (amedee de,author
lauge (a.),author
le bail (louis,author
"lebasque (henri)
1886-1937",author
"lefebvre (jules)
1836-1911",author
lefort (jean,author
le noir (robert),author
lhuillier (charles,author
lotiquet (eugene1844-1876,author
de luna (charles,author
marchand,author
mathey (jacques,author
meheut (mathurin),author
"mongodin (victor)
(xixe siecle)",author
"montenard (frederic)
1849-1926",author
"neuville (alphonse de)
1835-1885",author
narbonne (eugene),author
noailles (comtesse de,author
olive (jean-baptiste),author
perrin (gabriel,author
picard-ledoux (charles),author
pierre (gustave,author
"pigal (edme-jean)
1798-1872",author
planson (andre),author
ribot (theodule1823-1891,author
rigaud (p.-g.,author
rousseau (philippe),author
sabbagh (g.-h.),author
saint-germier,author
serres (antony1828-1898,author
thevenot (adrien,author
